1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
3	dialogue_2012_fcfbb30f92ce6f0b2e3889ded9b03512309ae0b9	ru	0.990006148815155	http://www.dialog-21.ru/media/1357/3.pdf
4	dialogue_2012_5c971351607a8c9d3467cd3fce4330e4e3568527	ru	0.9892109632492065	http://www.dialog-21.ru/media/1317/2.pdf
5	dialogue_2014_888b56db0f046e38907e8f6a525457e092199b23	ru	0.9890061616897583	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/BogdanovAV.pdf
6	dialogue_2003_5ac1f824bcdd4df25aeaf5cda8bd1bef09b9c5bc	ru	0.9888414144515991	http://www.dialog-21.ru/media/2685/semenova.pdf
7	dialogue_2005_70bf5d9dc5224e5f078532a9261474b731e96b05	ru	0.9886023998260498	http://www.dialog-21.ru/media/2354/belikov-v.pdf
8	dialogue_2014_12511ab58e84736932afa8d7bdc3ba92327141fc	ru	0.987920343875885	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/MikheevMJu.pdf
9	dialogue_2016_70cc4173f4c190e0ad3d7190a5cc5b4fbb2da178	ru	0.9878759980201721	http://www.dialog-21.ru/media/3423/sharonovia.pdf
10	dialogue_2003_6fb11e26a1a7de66362eee17723710a2a875cfe5	ru	0.9878734946250916	http://www.dialog-21.ru/media/2608/belikov.pdf

16. 	dialogue_2006_616c78c53b3b322a4eea4418d1d10d9d1508cf12	ru	http://www.dialog-21.ru/media/2024/zaliznyak2.pdf
1	dialogue_2008_33f8132d7279f34984acd7ce373830bfdea6599f	ru	0.9910995364189148	http://www.dialog-21.ru/media/1745/24.pdf
2	dialogue_2017_093856064e8b96038bbdbb6c563857b1fc90d8eb	ru	0.9903638362884521	http://www.dialog-21.ru/media/3941/rakhilinaev.pdf
3	dialogue_2013_9dbe16ce07df4823e232657f0c2b12df14673302	ru	0.9900614619255066	http://www.dialog-21.ru/media/1274/paduchevaev.pdf
4	dialogue_2012_fcfbb30f92ce6f0b2e3889ded9b03512309ae0b9	ru	0.9889771938323975	http://www.dialog-21.ru/media/1357/3.pdf
5	dialogue_2006_b8c6726eb307e468087cc332646b274ed4c821bc	ru	0.9889282584190369	http://www.dialog-21.ru/media/1954/iomdinb.pdf
6	dialogue_2012_5c971351607a8c9d3467cd3fce4330e4e3568527	ru	0.9887833595275879	http://www.dialog-21.ru/media/1317/2.pdf
7	dialogue_2007_c5b4c2921839ea73d33306d411cbbb9dbc1c7b45	ru	0.9886847734451294	http://www.dialog-21.ru/media/1850/29.pdf
8	dialogue_2010_c252069136aa7bb3b8769e50b37854e9229df599	ru	0.9881712198257446	http://www.dialog-21.ru/media/1490/15.pdf
